100305,ΚΟΙΝ.,ΦΤΕΛΙΑΣ,90010205,ΤΟΠ. ΚΟΙΝΟΤ,900102,ΚΑΛΑΜΠΑΚΙΟΥ,,9001,ΔΗΜΟΣ,ΔΟΞΑΤΟΥ,0101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,981,ΤΟΠ.ΔΙΑΜ.,1003,ΔΗΜΟΣ,ΚΑΛΑΜΠΑΚΙΟΥ,10,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,
100201,ΔΗΜΟΣ,ΔΡΑΜΑΣ,90020101,ΔΗΜ. ΚΟΙΝΟΤ,900201,ΔΡΑΜΑΣ,ΕΔΡΑ,9002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,0101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,43485,ΕΔΡΑ,1002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,10,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,
100212,ΚΟΙΝ.,ΞΗΡΟΠΟΤΑΜΟΥ,90020102,ΔΗΜ. ΚΟΙΝΟΤ,900201,ΔΡΑΜΑΣ,,9002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,0101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,2777,ΤΟΠ.ΔΙΑΜ.,1002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,10,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,
100213,ΚΟΙΝ.,ΧΩΡΙΣΤΗΣ,90020103,ΔΗΜ. ΚΟΙΝΟΤ,900201,ΔΡΑΜΑΣ,,9002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,0101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,2625,ΤΟΠ.ΔΙΑΜ.,1002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,10,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,
100202,ΚΟΙΝ.,ΚΑΛΛΙΦΥΤΟΥ,90020104,ΤΟΠ. ΚΟΙΝΟΤ,900201,ΔΡΑΜΑΣ,,9002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,0101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,1149,ΤΟΠ.ΔΙΑΜ.,1002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,10,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,
100203,ΚΟΙΝ.,ΚΑΛΟΥ ΑΓΡΟΥ,90020105,ΤΟΠ. ΚΟΙΝΟΤ,900201,ΔΡΑΜΑΣ,,9002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,0101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,1216,ΤΟΠ.ΔΙΑΜ.,1002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,10,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,
100204,ΚΟΙΝ.,ΚΟΥΔΟΥΝΙΩΝ,90020106,ΤΟΠ. ΚΟΙΝΟΤ,900201,ΔΡΑΜΑΣ,,9002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,0101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,885,ΤΟΠ.ΔΙΑΜ.,1002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,10,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,
100205,ΚΟΙΝ.,ΛΙΒΑΔΕΡΟΥ,90020107,ΤΟΠ. ΚΟΙΝΟΤ,900201,ΔΡΑΜΑΣ,,9002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,0101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,146,ΤΟΠ.ΔΙΑΜ.,1002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,10,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,
100206,ΚΟΙΝ.,ΜΑΚΡΥΠΛΑΓΙΟΥ,90020108,ΤΟΠ. ΚΟΙΝΟΤ,900201,ΔΡΑΜΑΣ,,9002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,0101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,84,ΤΟΠ.ΔΙΑΜ.,1002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,10,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,
100207,ΚΟΙΝ.,ΜΑΥΡΟΒΑΤΟΥ,90020109,ΤΟΠ. ΚΟΙΝΟΤ,900201,ΔΡΑΜΑΣ,,9002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,0101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,714,ΤΟΠ.ΔΙΑΜ.,1002,ΔΗΜΟΣ,ΔΡΑΜΑΣ,10,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,
