130305,ΙΣΑΑΚΙΟΥ,540,1313
130306,ΚΑΡΩΤΗΣ,723,1313
130307,ΚΟΥΦΟΒΟΥΝΟΥ,958,1303
130308,ΚΥΑΝΗΣ,557,1303
130309,ΜΑΝΗΣ,767,1303
130310,ΠΕΤΡΑΔΩΝ,405,1303
130311,ΠΟΙΜΕΝΙΚΟΥ,551,1303
130312,ΠΡΑΓΓΙΟΥ,362,1303
130313,ΠΥΘΙΟΥ,747,1303
130314,ΣΙΤΟΧΩΡΙΟΥ,440,1303
130315,ΣΟΦΙΚΟ,926,1303
130501,ΑΛΕΠΟΧΩΡΙΟΥ,474,1303
130502,ΑΣΠΡΟΝΕΡΙΟΥ,630,1303
130503,ΒΡΥΣΙΚΩΝ,566,1305
130504,ΔΟΞΗΣ,527,1305
130505,ΕΛΑΦΟΧΩΡΙΟΥ,544,1305
130506,ΛΑΔΗΣ,253,1305
130507,ΜΕΤΑΞΑΔΩΝ,914,1305
130508,ΠΑΛΙΟΥΡΙΟΥ,578,1305
130203,ΝΕΑΣ ΒΥΣΣΗΣ,2844,1310
130201,ΚΑΒΥΛΗΣ,1494,1310
130202,ΚΑΣΤΑΝΕΩΝ,1295,1310
130204,ΡΙΖΙΩΝ,1684,1310
130205,ΣΤΕΡΝΑΣ,867,1313
130401,ΓΑΛΗΝΗ,0,1303
130402,ΖΩΝΗΣ,811,1303
130403,ΚΥΠΡΙΝΟΣ,1157,1303
130404,ΦΥΛΑΚΙΟΥ,947,1303
130607,ΟΡΕΣΤΙΑΔΟΣ,17194,1302
130601,ΑΜΠΕΛΑΚΙΩΝ,574,1305
130602,ΒΑΛΤΟΥ,565,1305
130603,ΘΟΥΡΙΟ,706,1302
130604,ΜΕΓΑΛΗΣ ΔΟΞΙΠΑΡΑΣ,410,1302
130605,ΝΕΟΥ ΧΕΙΜΩΝΙΟΥ,621,1302
130606,ΝΕΟΧΩΡΙΟΥ,1437,1302
130608,ΧΑΝΔΡΑ,223,1304
131101,ΑΡΖΟΥ,433,1311
131102,ΔΙΚΑΙΩΝ,1177,1311
131103,ΕΛΑΙΑΣ,532,1311
131104,ΘΕΡΑΠΕΙΟ,133,1311
131105,ΚΟΜΑΡΩΝ,774,1311
131106,ΜΑΡΑΣΙΩΝ,198,1311
131107,ΜΗΛΕΑ,104,1311
131108,ΟΡΜΕΝΙΟΥ,807,1308
131109,ΠΕΝΤΑΛΟΦΟΥ,665,1307
131110,ΠΕΤΡΩΤΩΝ,312,1307
131111,ΠΛΑΤΗΣ,601,1307
131112,ΠΤΕΛΕΑΣ,477,1307
131113,ΣΠΗΛΑΙΟΥ,443,1307
130801,ΣΑΜΟΘΡΑΚΗΣ,2723,1306
130706,ΜΙΚΡΟΥ ΔΕΡΕΙΟΥ,2103,1306
130701,ΑΜΟΡΙΟΥ,552,1304
130702,ΚΥΡΙΑΚΗΣ,163,1304
130703,ΛΑΒΑΡΩΝ,1580,1304
130704,ΜΑΝΔΡΑΣ,191,1306
130705,ΜΑΥΡΟΚΚΛΗΣΙΟΥ,437,1306
130707,ΠΡΩΤΟΚΚΛΗΣΙΟΥ,1120,1306
130905,ΣΟΥΦΛΙΟΥ,5009,1311
130901,ΔΑΔΙΑΣ,823,1306
130902,ΚΟΡΝΟΦΩΛΕΑΣ,579,1306
130903,ΛΑΓΥΝΩΝ,478,1306
130904,ΛΥΚΟΦΩΤΟΣ,630,1311
131204,ΤΥΧΕΡΟΥ,2031,1309
131201,ΛΕΥΚΙΜΜΗΣ,342,1307
131202,ΛΥΡΑΣ,246,1307
131203,ΠΡΟΒΑΤΩΝΟΣ,1097,1309
131205,ΦΥΛΑΚΤΟΥ,387,1309
230301,ΘΑΣΟΥ,3140,2303
230302,ΘΕΟΛΟΓΟΥ,1748,2303
230303,ΚΑΛΛΙΡΑΧΗΣ,1282,2303
230304,ΛΙΜΕΝΑΡΙΩΝ,2452,2303
230307,ΠΟΤΑΜΙΑΣ,1262,2303
230308,ΠΡΙΝΟΥ,1361,2303
230305,ΜΑΡΙΩΝ,559,2303
230306,ΠΑΝΑΓΙΑΣ,849,2303
230309,ΡΑΧΩΝΙΟΥ,720,2303
230310,ΣΩΤΗΡΟΣ,392,2303
230401,ΚΑΒΑΛΑΣ,60802,2304
